Timestamp,Transaction ID,Bank,Amount,Fraud Score,Verification,ZK Proof,TransactionID,UserID,Category,Country,Device,IsFraud,FraudScore,ZKProof
2025-09-06 13:25:45.171433,TX17849571,Aegis Alliance Bank,1000.0,6.7267996728404e-11,Auto-Approved,Verified,,,,,,,,
2025-09-06 13:16:42.722312,TX64265012,Aegis Alliance Bank,1000.0,6.7267996728404e-11,Auto-Approved,Failed,,,,,,,,
2025-09-06 11:06:43.466145,TX18024036,Aegis Alliance Bank,1000.0,6.7267996728404e-11,Auto-Approved,Verified,,,,,,,,
2025-09-06 10:38:10.789490,TX85383120,Aegis Alliance Bank,1000.0,6.7267996728404e-11,Auto-Approved,Failed,,,,,,,,
2025-09-06 10:30:48.493913,TX68711004,Aegis Alliance Bank,1000.0,6.7267996728404e-11,Auto-Approved,Verified,,,,,,,,
2025-09-06 10:26:23.403341,TX35817970,Aegis Alliance Bank,1000.0,0.128,Auto-Approved,Verified,,,,,,,,
2025-09-06 10:20:47.856180,TX74243735,Aegis Alliance Bank,1000.0,0.128,Auto-Approved,Verified,,,,,,,,
2025-08-05 22:21:41.621552,,Bank B,269.3622111208468,,Auto-Approved,,TX56332,USER7025,Food,TH,Mobile,False,0.1537754526431145,Verified
2025-08-05 22:26:22.831651,,Bank C,125.72322182563252,,Auto-Approved,,TX69040,USER2972,Food,SG,ATM,False,0.3759920241163477,Verified
2025-08-05 22:26:57.498156,,Bank A,322.8624062817858,,Auto-Approved,,TX28653,USER6949,Food,JP,Web,False,0.108601851214725,Verified
2025-08-05 22:27:01.836040,,Bank A,923.006085531458,,Auto-Approved,,TX51847,USER8957,Food,TH,Other,False,0.3222491424965398,Verified
2025-08-05 22:28:24.962554,,Bank C,112.057927827475,,Auto-Approved,,TX42092,USER8232,Retail,TH,Mobile,False,0.2181417413202558,Verified
2025-08-05 22:37:01.981291,,Bank B,112.06013553932408,,Auto-Approved,,TX68558,USER9787,Retail,TH,Mobile,False,0.4416204151659839,Verified
2025-08-05 22:43:00.369262,,Bank C,987.3804030535006,,Auto-Approved,,TX95198,USER8782,Retail,OTHER,POS,False,0.0529356179985607,Verified
2025-08-05 22:47:30.450257,,Bank A,372.7551146640689,,Auto-Approved,,TX80412,USER1085,Travel,TH,Mobile,False,0.0426964331534594,Verified
2025-08-05 23:02:24.606712,,Bank C,84.48979322900006,,Auto-Approved,,TX21989,USER5214,Food,TH,Mobile,False,0.1458076631967541,Verified
2025-08-05 23:04:06.929872,,Bank A,284.5964045705628,,Auto-Approved,,TX26003,USER3751,Food,TH,Mobile,False,0.20044742544426,Verified
2025-08-05 23:14:53.761142,,Bank B,85.10610470114229,,Auto-Approved,,TX95041,USER3199,Entertainment,TH,Mobile,False,0.3137442864149065,Verified
2025-08-05 23:17:57.994435,,Bank B,84.87030737713026,,Auto-Approved,,TX74705,USER6712,Retail,TH,Mobile,False,0.0922367229201523,Verified
2025-08-05 23:21:03.156100,,Bank C,198.413795435648,,Auto-Approved,,TX18766,USER9580,Other,TH,Mobile,False,0.0283532070292374,Verified
2025-08-05 23:30:48.435705,,Bank B,14.940321612448829,,OTP Verified,,TX85602,USER7248,Food,TH,Mobile,False,0.5171015596690983,Verified
2025-08-05 23:50:14.356311,,Bank A,18.729477150514075,,Auto-Approved,,TX91267,USER6935,Travel,SG,Mobile,False,0.1423924687666055,Verified
2025-08-06 00:11:03.001618,,Bank C,75.58478187033135,,Auto-Approved,,TX23795,USER4704,Retail,TH,Mobile,False,0.3120414064490704,Verified
2025-08-06 00:15:20.241470,,Bank A,44.01817670736765,,Auto-Approved,,TX33937,USER7340,Travel,US,Web,False,0.0757672731222168,Verified
2025-08-06 00:42:44.582073,,Bank C,216.3931298725857,,Auto-Approved,,TX34262,USER5108,Online Services,TH,ATM,False,0.1480206511690268,Verified
2025-08-06 00:43:05.278870,,Bank B,49.91747337878629,,Auto-Approved,,TX67109,USER2577,Food,TH,Mobile,False,0.0566515178485375,Verified
2025-08-06 00:53:51.446770,,Bank B,27.25496096763568,,Auto-Approved,,TX37544,USER8452,Food,TH,Mobile,False,0.4936715757845542,Verified
2025-08-06 01:03:35.528559,,Bank C,861.5891412061794,,Auto-Approved,,TX77846,USER1429,Retail,OTHER,Mobile,False,0.1285701701035549,Verified
2025-08-06 01:14:05.208676,,Bank A,113.19006981242482,,Auto-Approved,,TX10707,USER5569,Retail,TH,Mobile,False,0.0438811659881744,Verified
2025-08-06 01:23:48.527198,,Bank A,160.94035743325352,,Auto-Approved,,TX17953,USER7568,Food,SG,POS,False,0.3936397902443538,Verified
2025-08-06 01:38:50.217523,,Bank A,26.85097616530849,,Auto-Approved,,TX82231,USER9844,Retail,TH,POS,False,0.148113694149765,Verified
2025-08-06 01:41:46.491968,,Bank C,77.22635081337663,,Auto-Approved,,TX86463,USER3988,Online Services,JP,ATM,False,0.4635676667913538,Verified
2025-08-06 02:21:23.416008,,Bank B,169.54308912689422,,Auto-Approved,,TX40522,USER7732,Food,TH,Web,False,0.1986582301718687,Verified
2025-08-06 02:32:08.498213,,Bank A,37.293077033080216,,Auto-Approved,,TX98809,USER7921,Food,TH,Mobile,False,0.1708872005092375,Verified
2025-08-06 02:44:18.594034,,Bank A,232.95321094715803,,Auto-Approved,,TX78764,USER5893,Other,SG,Other,False,0.3236153727915291,Verified
2025-08-06 02:51:23.999521,,Bank C,72.18509413043151,,Auto-Approved,,TX92522,USER6494,Food,TH,ATM,False,0.0943709807150881,Verified
2025-08-06 02:53:47.890218,,Bank B,104.58158664625964,,Auto-Approved,,TX53670,USER2499,Retail,TH,Mobile,False,0.1389468678155476,Verified
2025-08-06 03:00:04.981140,,Bank C,72.0926476914352,,Auto-Approved,,TX45594,USER8109,Online Services,TH,ATM,False,0.2138600078995041,Verified
2025-08-06 03:01:55.883279,,Bank C,1370.229908835429,,Auto-Approved,,TX68723,USER4866,Online Services,TH,Mobile,False,0.2771661589444952,Verified
2025-08-06 03:10:07.398459,,Bank B,146.02872228136414,,Auto-Approved,,TX12184,USER4581,Other,TH,Mobile,False,0.1900853683133288,Verified
2025-08-06 03:13:27.579557,,Bank A,41.71024930325304,,Auto-Approved,,TX71162,USER6843,Food,JP,Mobile,False,0.0314442726504816,Verified
2025-08-06 03:24:57.502321,,Bank A,398.23962402360354,,Auto-Approved,,TX21268,USER3155,Other,TH,Mobile,False,0.1860214493744646,Verified
2025-08-06 03:33:36.857853,,Bank B,34.29459014576732,,Auto-Approved,,TX19032,USER3144,Retail,TH,ATM,False,0.1430764124363807,Verified
2025-08-06 03:40:46.086182,,Bank A,190.6875670321633,,Auto-Approved,,TX16644,USER5272,Retail,US,Web,False,0.1854334651390468,Verified
2025-08-06 03:48:25.482840,,Bank B,14.131351664819368,,Auto-Approved,,TX86496,USER7126,Food,TH,Mobile,False,0.1692885044846037,Verified
2025-08-06 03:52:03.559336,,Bank B,30.14975331819213,,Auto-Approved,,TX58869,USER1233,Food,TH,Mobile,False,0.1694156482295842,Verified
2025-08-06 04:09:57.967615,,Bank B,187.9608098853592,,Auto-Approved,,TX84048,USER8212,Online Services,TH,Mobile,False,0.2038877010122582,Verified
2025-08-06 04:10:34.767528,,Bank B,360.0201117977241,,Auto-Approved,,TX48996,USER9524,Retail,TH,Mobile,False,0.3213397549396992,Verified
